,Sample.Name,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,Ofav.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,Ofav.CT.sd,A.reps,B.reps,C.reps,D.reps,Ofav.reps,A.SH,B.SH,C.SH,D.SH,tot.SH,logTot.SH,logA.SH,logB.SH,logC.SH,logD.SH,D.Prp,RanA,ID
31,8-7,Ofav_Lauren_Plate2.csv,NA,NA,NA,25.5822038651,22.4085754242,NA,NA,NA,0.1669406324,4.3981915551,0,0,0,2,2,0,0,0,1.2493967245,1.2493967245,0.096700363,NA,NA,NA,0.096700363,1,2,8-7.Ofav_Lauren_Plate2.csv
78,4-47,Ofav_Lauren_ReRuns.csv,NA,NA,32.4256919404,25.4180269242,15.8233074036,NA,NA,0.8495590831,0.1087280795,0.0037331992,0,0,2,2,2,0,0,6.79818883762833E-06,0.0145800611,0.0145868593,-1.8360382072,NA,NA,-5.1676067759,-1.8362406569,0.9995339512,2,4-47.Ofav_Lauren_ReRuns.csv
79,4-54,Ofav_Lauren_ReRuns.csv,NA,NA,32.5588992615,23.5128822327,14.6977962342,NA,NA,NA,0.2244019597,0.1689434506,0,0,1,2,2,0,0,0,0.0250295141,0.0250295141,-1.6015475811,NA,NA,NA,-1.6015475811,1,2,4-54.Ofav_Lauren_ReRuns.csv
80,4-62,Ofav_Lauren_ReRuns.csv,NA,NA,29.1666625519,24.6185026169,14.2849048462,NA,NA,3.557428688,0.0269105942,0.0510698422,0,0,2,2,2,0,0,2.24054417823892E-05,0.0087364466,0.008758852,-2.0575528099,NA,NA,-4.6496464884,-2.0586651733,0.9974419659,2,4-62.Ofav_Lauren_ReRuns.csv
81,4-69,Ofav_Lauren_ReRuns.csv,NA,NA,33.9319232483,24.366435051,14.4946636047,NA,NA,2.9803014389,0.1668597104,0.0086020032,0,0,2,2,2,0,0,9.52819821005469E-07,0.0120325702,0.012033523,-1.9196072078,NA,NA,-6.020989217,-1.9196415968,0.9999208195,2,4-69.Ofav_Lauren_ReRuns.csv
22,4-71,Ofav_Lauren_Plate3.csv,NA,NA,NA,24.2205324173,15.2450298157,NA,NA,NA,0.5175673457,NA,0,0,0,2,1,0,0,0,0.0223955746,0.0223955746,-1.6498377904,NA,NA,NA,-1.6498377904,1,2,4-71.Ofav_Lauren_Plate3.csv
83,6-109,Ofav_Lauren_ReRuns.csv,NA,NA,25.6296399613,24.0603866577,16.0711101379,NA,NA,1.4302833127,1.2111021674,0.2288742462,0,0,2,2,2,0,0,0.0008970255,0.0443655472,0.0452625727,-1.3442607646,NA,NA,-3.0471952221,-1.3529541573,0.9801817391,2,6-109.Ofav_Lauren_ReRuns.csv
84,6-113,Ofav_Lauren_ReRuns.csv,NA,NA,33.0085719604,22.792298317,13.6032461014,NA,NA,NA,0.2937264449,0.020442233,0,0,1,2,2,0,0,0,0.0193142287,0.0193142287,-1.7141226298,NA,NA,NA,-1.7141226298,1,2,6-113.Ofav_Lauren_ReRuns.csv
23,6-34,Ofav_Lauren_Plate3.csv,NA,NA,NA,22.7329883576,15.8767150726,NA,NA,NA,0.3503299996,NA,0,0,0,2,1,0,0,0,0.0973002154,0.0973002154,-1.0118861984,NA,NA,NA,-1.0118861984,1,2,6-34.Ofav_Lauren_Plate3.csv
86,6-99,Ofav_Lauren_ReRuns.csv,NA,NA,24.6025994797,23.4347991943,15.9915527191,NA,NA,1.8572949514,1.1715502161,0.6476884913,0,0,2,2,2,0,0,0.0017299183,0.0647764681,0.0665063864,-1.1771366486,NA,NA,-2.7619743998,-1.1885827353,0.9739886886,2,6-99.Ofav_Lauren_ReRuns.csv
