"","Colony","Core","Sample.Name","File.Name","A.CT.mean","B.CT.mean","C.CT.mean","D.CT.mean","Ofav.CT.mean","A.CT.sd","B.CT.sd","C.CT.sd","D.CT.sd","Ofav.CT.sd","A.reps","B.reps","C.reps","D.reps","Ofav.reps","A.SH","B.SH","C.SH","D.SH","tot.SH","HostCopy","tot.SH_c","Log_tot.SH_c","D.Prp","ID","RanA"
"42","8","17","8-17","Ofav_Lauren_Plate3.csv",NA,NA,NA,25.2381019592,18.5209678497,NA,NA,NA,0.768866412775314,NA,0,0,0,2,1,0,0,0,0.107151650972776,0.107151650972776,7,0.750061556809431,-0.12490309302747,1,"8-17.Ofav_Lauren_Plate3.csv",2
"44","8","24","8-24","Ofav_Lauren_Plate3.csv",NA,NA,NA,24.50003528595,17.8657707062,NA,NA,NA,0.15047571311854,1.28585246923283,0,0,0,2,2,0,0,0,0.113486729655773,0.113486729655773,7,0.794407107590412,-0.0999568788461511,1,"8-24.Ofav_Lauren_Plate3.csv",2
"46","4","42","4-42","Ofav_Lauren_Plate4.csv",36.5125206604,NA,NA,25.149479866,16.18309915925,NA,NA,NA,0.255876551906897,0.0692813267435984,1,0,0,2,2,0,0,0,0.022537626301757,0.022537626301757,2,0.045075252603514,-1.34606183079514,1,"4-42.Ofav_Lauren_Plate4.csv",2
"51","6","47","6-47","Ofav_Lauren_Plate4.csv",NA,NA,24.0561374207,23.0609331131,14.66430223845,NA,NA,NA,0.98983323583111,0.0766344345603224,0,0,1,2,2,0,0,0,0.0334518363134211,0.0334518363134211,2,0.0669036726268422,-1.17455004130852,1,"6-47.Ofav_Lauren_Plate4.csv",2
"62","4","62","4-62","Ofav_Lauren_Plate5.csv",38.6301125183,14.9637379913,32.0203364868,24.44249534605,14.90399111175,NA,NA,NA,0.211095693919841,0.15109341727811,1,1,1,2,2,0,0,0,0.0151593936472599,0.0151593936472599,2,0.0303187872945199,-1.51828817381278,1,"4-62.Ofav_Lauren_Plate5.csv",3
"66","4","69","4-69","Ofav_Lauren_Plate5.csv",39.6881264343,NA,NA,24.1934299469,15.3032764282,NA,NA,NA,0.0567991161569751,0.0462792627233569,1,0,0,2,2,0,0,0,0.0237604599640625,0.0237604599640625,2,0.047520919928125,-1.32311516070697,1,"4-69.Ofav_Lauren_Plate5.csv",3
"67","6","1","6-1","Ofav_Lauren_Plate5.csv",NA,32.7727952271,NA,23.1843109131,14.82346380615,NA,NA,NA,0.124317693082353,0.373168871053983,0,1,0,2,2,0,0,0,0.0342919317316987,0.0342919317316987,2,0.0685838634633974,-1.16377805387295,1,"6-1.Ofav_Lauren_Plate5.csv",2
"68","6","119B","6-119B","Ofav_Lauren_Plate5.csv",NA,27.6783967285,NA,22.11496829985,15.07425917055,NA,NA,NA,0.176764557030922,0.397995725027215,0,1,0,2,2,0,0,0,0.0856235204638612,0.0856235204638612,2,0.171247040927722,-0.766376924185112,1,"6-119B.Ofav_Lauren_Plate5.csv",2
"76","8","32","8-32","Ofav_Lauren_Plate5.csv",NA,NA,NA,23.03849506375,17.6147664871,NA,NA,NA,0.202950899734251,0.104681982084502,0,0,0,2,2,0,0,0,0.262635076879092,0.262635076879092,7,1.83844553815365,0.264450768918136,1,"8-32.Ofav_Lauren_Plate5.csv",2
"77","6","1","6-1","Ofav_Lauren_Plate6.csv",NA,34.70163204955,34.7761577148,24.4520893097,15.13103235625,NA,1.09403238355582,NA,0.0396922160085968,0.912773961051469,0,2,1,2,2,0,4.34351607078872e-05,0,0.0176254406917565,0.0176688758524644,2,0.0353377517049288,-1.45176108508404,0.997541713402111,"6-1.Ofav_Lauren_Plate6.csv",2
"78","6","118","6-118","Ofav_Lauren_Plate6.csv",NA,32.16295483395,NA,23.0504179001,15.47541750335,NA,0.768175878809314,NA,0.0799198657169878,1.06230423598756,0,2,0,2,2,0,0.00032042742759258,0,0.0591228528990059,0.0594432803265985,2,0.118886560653197,-0.924867236752554,0.99460952649598,"6-118.Ofav_Lauren_Plate6.csv",2
"79","6","119A","6-119A","Ofav_Lauren_Plate6.csv",NA,30.4572491913,34.1648067017,22.61602687835,15.95277918245,NA,1.49455017603797,NA,0.240409670042681,0.13886611083722,0,2,1,2,2,0,0.00145511872584494,0,0.111229579096055,0.1126846978219,2,0.225369395643801,-0.647105059920056,0.987086811661467,"6-119A.Ofav_Lauren_Plate6.csv",2
"80","6","119B","6-119B","Ofav_Lauren_Plate6.csv",NA,29.6079812317,29.40966353605,23.52677059175,15.53547800445,NA,1.22698714604903,3.99944999948164,1.6261009426618,1.08328729752051,0,2,2,2,2,0,0.00196305916037329,4.5046697670854e-05,0.0443035927130156,0.0463116985710598,2,0.0926233971421195,-1.03327929446045,0.956639339087014,"6-119B.Ofav_Lauren_Plate6.csv",2
"81","6","21","6-21","Ofav_Lauren_Plate6.csv",NA,NA,NA,23.7772321701,16.33152902985,NA,NA,NA,0.683122864116,1.12327622727246,0,0,0,2,2,0,0,0,0.0646662586180573,0.0646662586180573,2,0.129332517236115,-0.888292269545329,1,"6-21.Ofav_Lauren_Plate6.csv",2
"82","6","37","6-37","Ofav_Lauren_Plate6.csv",NA,32.41693356325,NA,23.65496730805,15.7719034042,NA,1.39621652092393,NA,0.00169801221250372,0.374033387229284,0,2,0,2,2,0,0.000330008872962883,0,0.0477550194210877,0.0480850282940505,2,0.0961700565881011,-1.01696012840754,0.99313697247,"6-37.Ofav_Lauren_Plate6.csv",2
"83","6","39","6-39","Ofav_Lauren_Plate6.csv",NA,29.9880357056,NA,23.79310035705,15.3664268341,NA,0.591717476528649,NA,0.293781741565841,0.206240376955919,0,2,0,2,2,0,0.00134164037190936,0,0.0327624389541633,0.0341040793260727,2,0.0682081586521453,-1.16616367452701,0.960660413697676,"6-39.Ofav_Lauren_Plate6.csv",2
"84","6","44","6-44","Ofav_Lauren_Plate6.csv",NA,33.2167153625,NA,23.5876464844,16.0542005386,NA,NA,NA,0.111923147826696,0.654058397409127,0,1,0,2,2,0,0,0,0.0608505514635544,0.0608505514635544,2,0.121701102927109,-0.914705485919591,1,"6-44.Ofav_Lauren_Plate6.csv",2
"85","6","50","6-50","Ofav_Lauren_Plate6.csv",NA,33.79973080445,NA,24.51908779145,15.07545793915,NA,0.579341813074658,NA,0.0927540867872074,0.146877383746373,0,2,0,2,2,0,7.80928358628043e-05,0,0.0161898142245859,0.0162679070604487,2,0.0325358141208975,-1.48763832174741,0.995199576960169,"6-50.Ofav_Lauren_Plate6.csv",2
"86","6","7","6-7","Ofav_Lauren_Plate6.csv",NA,29.65535023495,NA,23.2981081009,16.40750444795,NA,0.149719092882057,NA,0.221244655068195,0.175256711358431,0,2,0,2,2,0,0.0034768024396435,0,0.095012190545302,0.0984889929849455,2,0.196977985969891,-0.705582307371504,0.964698568497142,"6-7.Ofav_Lauren_Plate6.csv",2
"87","6","99","6-99","Ofav_Lauren_Plate6.csv",NA,32.588572052,NA,25.08596801755,16.19999445345,NA,0.324842283105472,NA,0.430634244574817,0.465642428428551,0,2,0,2,2,0,0.000394208087649699,0,0.0238294015337249,0.0242236096213746,2,0.0484472192427492,-1.31473114538695,0.983726286304505,"6-99.Ofav_Lauren_Plate6.csv",3
"88","4","42","4-42","Ofav_Lauren_Plate7.csv",34.50551306155,NA,NA,25.244556427,15.28728998565,0.602204961088701,NA,NA,0.0222778126573288,0.0249792570513337,2,0,0,2,2,5.54520191219512e-05,0,0,0.0113402295362878,0.0113956815554097,2,0.0227913631108195,-1.64222969966369,0.995133944481309,"4-42.Ofav_Lauren_Plate7.csv",2
"89","4","49","4-49","Ofav_Lauren_Plate7.csv",NA,NA,NA,24.5944232941,15.74984777835,NA,NA,NA,0.0753814930335642,0.574999001802437,0,0,0,2,2,0,0,0,0.0245230898675798,0.0245230898675798,2,0.0490461797351595,-1.30939481467656,1,"4-49.Ofav_Lauren_Plate7.csv",2
"90","4","54","4-54","Ofav_Lauren_Plate7.csv",36.56780706785,NA,NA,23.7776451111,14.89905775455,0.209452978376867,NA,NA,0.0135598213100292,0.427035915202653,2,0,0,2,2,1.01446124774732e-05,0,0,0.023951714447654,0.0239618590601315,2,0.0479237181202629,-1.31944949494947,0.999576634999312,"4-54.Ofav_Lauren_Plate7.csv",3
"91","4","62","4-62","Ofav_Lauren_Plate7.csv",37.39989744565,NA,NA,24.73725795745,14.96261728665,0.522645198126732,NA,NA,0.357711430125954,0.328466237673835,2,0,0,2,2,5.95503919888327e-06,0,0,0.0128705670098156,0.0128765220490145,2,0.0257530440980289,-1.58917142849313,0.999537527355895,"4-62.Ofav_Lauren_Plate7.csv",3
"92","4","69","4-69","Ofav_Lauren_Plate7.csv",35.12694250485,NA,NA,24.4633960724,14.9546102371,0.464939756196836,NA,NA,0.381789756063417,0.631394856871292,2,0,0,2,2,2.86221252887324e-05,0,0,0.0154749038763872,0.015503526001676,2,0.0310070520033519,-1.50853952236433,0.998153831245509,"4-69.Ofav_Lauren_Plate7.csv",3
"93","6","47","6-47","Ofav_Lauren_Plate7.csv",NA,NA,34.7654727478,23.6508283615,14.91409910585,NA,NA,NA,0.107438723148036,0.782879396971806,0,0,1,2,2,0,0,0,0.02642653049233,0.02642653049233,2,0.0528530609846601,-1.27692985546628,1,"6-47.Ofav_Lauren_Plate7.csv",2
"95","7","40","7-40","Ofav_Lauren_Plate7.csv",NA,NA,NA,24.29298114775,16.20806635285,NA,NA,NA,0.112080945705274,0.488376101372579,0,0,0,2,2,0,0,0,0.0415198573909168,0.0415198573909168,7,0.290639001736418,-0.536646106822709,1,"7-40.Ofav_Lauren_Plate7.csv",2
"96","8","24","8-24","Ofav_Lauren_Plate7.csv",NA,NA,35.1435855408,24.2329483032,17.12364614865,NA,NA,NA,0.325983282486989,0.17102853949027,0,0,1,2,2,0,0,0,0.0816478065597217,0.0816478065597217,7,0.571534645918052,-0.242957437928424,1,"8-24.Ofav_Lauren_Plate7.csv",2
"97","8","7","8-7","Ofav_Lauren_Plate7.csv",39.7479675903,NA,NA,25.2796211243,17.9847949829,NA,NA,NA,0.101721587479762,0.283307743936272,1,0,0,2,2,0,0,0,0.0717953367884895,0.0717953367884895,7,0.502567357519426,-0.298805722885443,1,"8-7.Ofav_Lauren_Plate7.csv",2
"98","4","47","4-47","Ofav_Lauren_ReRuns.csv",NA,NA,32.42569194035,25.41802692415,15.8233074036,NA,NA,0.8495590830595,0.108728079542653,0.00373319924265252,0,0,2,2,2,0,0,6.79818883762833e-06,0.0145800610725793,0.0145868592614169,2,0.0291737185228338,-1.53500821156999,0.999533951160027,"4-47.Ofav_Lauren_ReRuns.csv",2
"99","4","54","4-54","Ofav_Lauren_ReRuns.csv",NA,NA,32.5588992615,23.51288223265,14.69779623415,NA,NA,NA,0.224401959748901,0.16894345059107,0,0,1,2,2,0,0,0,0.0250295141123061,0.0250295141123061,2,0.0500590282246121,-1.30051758542666,1,"4-54.Ofav_Lauren_ReRuns.csv",3
"100","4","62","4-62","Ofav_Lauren_ReRuns.csv",NA,NA,29.16666255185,24.61850261685,14.2849048462,NA,NA,3.55742868796838,0.0269105942076651,0.0510698421522765,0,0,2,2,2,0,0,2.24054417823892e-05,0.00873644660033683,0.00875885204211922,2,0.0175177040842384,-1.75652281420018,0.997441965947747,"4-62.Ofav_Lauren_ReRuns.csv",3
"101","4","69","4-69","Ofav_Lauren_ReRuns.csv",NA,NA,33.9319232483,24.36643505095,14.4946636047,NA,NA,2.98030143886293,0.166859710427345,0.00860200320776504,0,0,2,2,2,0,0,9.52819821005469e-07,0.0120325701737494,0.0120335229935704,2,0.0240670459871408,-1.61857721218504,0.999920819545405,"4-69.Ofav_Lauren_ReRuns.csv",3
"102","4","71","4-71","Ofav_Lauren_ReRuns.csv",NA,NA,35.0717891235,24.0715417862,14.999977478,NA,NA,NA,0.0592550972707281,0.172228881747735,0,0,1,2,2,0,0,0,0.0209529296313923,0.0209529296313923,2,0.0419058592627846,-1.37772524988355,1,"4-71.Ofav_Lauren_ReRuns.csv",2
"103","6","109","6-109","Ofav_Lauren_ReRuns.csv",NA,NA,25.62963996125,24.0603866577,16.0711101379,NA,NA,1.43028331273093,1.21110216743074,0.228874246161844,0,0,2,2,2,0,0,0.000897025477050869,0.0443655472277017,0.0452625727047526,2,0.0905251454095052,-1.04323076890813,0.980181739051773,"6-109.Ofav_Lauren_ReRuns.csv",2
"104","6","113","6-113","Ofav_Lauren_ReRuns.csv",NA,NA,33.0085719604,22.792298317,13.6032461014,NA,NA,NA,0.293726444896312,0.0204422330326737,0,0,1,2,2,0,0,0,0.0193142287272043,0.0193142287272043,2,0.0386284574544086,-1.41309263413875,1,"6-113.Ofav_Lauren_ReRuns.csv",2
"105","6","34","6-34","Ofav_Lauren_ReRuns.csv",NA,NA,30.91933284,22.78457546235,14.40417612455,NA,NA,1.46382680938669,0.183583579883322,0.0418703651806582,0,0,2,2,2,0,0,7.22189907212073e-06,0.0338303228595247,0.0338375447585969,2,0.0676750895171937,-1.16957116109425,0.999786571421666,"6-34.Ofav_Lauren_ReRuns.csv",2
"106","6","99","6-99","Ofav_Lauren_ReRuns.csv",NA,NA,24.6025994797,23.4347991943,15.9915527191,NA,NA,1.85729495140215,1.17155021609311,0.647688491307475,0,0,2,2,2,0,0,0.00172991832905416,0.0647764680999133,0.0665063864289675,2,0.133012772857935,-0.87610665290231,0.97398868857652,"6-99.Ofav_Lauren_ReRuns.csv",3
"107","8","17","8-17","Ofav_Lauren_ReRuns.csv",NA,NA,31.9219344635,24.22131824495,17.13081110385,NA,NA,1.96659487944174,0.0451099405332723,0.0275714567710481,0,0,2,2,2,0,0,2.38581721743235e-05,0.082718449423347,0.0827423075955213,7,0.579196153168649,-0.237174331243189,0.999711656915699,"8-17.Ofav_Lauren_ReRuns.csv",2
"108","8","32","8-32","Ofav_Lauren_ReRuns.csv",NA,NA,32.9321139832,23.2810297012,16.05565966035,NA,NA,NA,0.453148079505498,0.128332770473121,0,0,1,2,2,0,0,0,0.0753363554941445,0.0753363554941445,7,0.527354488459012,-0.27789735323804,1,"8-32.Ofav_Lauren_ReRuns.csv",2
