"","Colony","Sample.Name","File.Name","C.CT.mean","D.CT.mean","Ofav.CT.mean","C.CT.sd","D.CT.sd","Ofav.CT.sd","D.SH","tot.SH","tot.SH_c","Log_tot.SH","Log_tot.SH_c","D.Prp","ID","RanA","RanB","Sample.ID","Treatment","Treatment.2","Combo","Notes"
"1","4","4-47","Ofav_Lauren_Plate1.csv",NA,25.80142402645,16.4130472031,NA,0.0948189452199757,0.231006539529857,0.00120156328268523,0.00120156328268523,0.00240312656537045,-2.92025335128767,-2.61922335562369,1,"4-47.Ofav_Lauren_Plate1.csv",2,1,"FL16-24","NH4","LPS","NH4 x LPS","ok"
"2","7","7-49","Ofav_Lauren_Plate1.csv",NA,25.7077560425,17.36341131595,NA,0.122564384200322,0.0887524963976321,0.00247760247555818,0.00247760247555818,0.0198208198044655,-2.60596837371491,-1.70287838672297,1,"7-49.Ofav_Lauren_Plate1.csv",1,1,"FL16-6","NH4","Inhibitor","NH4 x Inhibitor","okish"
"3","7","7-50","Ofav_Lauren_Plate1.csv",NA,25.975110054,16.73015345,NA,0.380501748333564,0.110405861288725,0.00132715129972071,0.00132715129972071,0.0106172103977657,-2.87707956327861,-1.97398957628667,1,"7-50.Ofav_Lauren_Plate1.csv",1,1,"FL16-7","NH4","Inhibitor","NH4 x Inhibitor","okish"
"4","7","7-58","Ofav_Lauren_Plate1.csv",NA,25.0163669586,15.7483848419,NA,0.0767679557660448,0.198889966610146,0.00130613800598454,0.00130613800598454,0.0104491040478763,-2.88401093326686,-1.98092094627491,1,"7-58.Ofav_Lauren_Plate1.csv",1,1,"FL16-4","Control","Inhibitor","Control x Inhibitor","epoxy"
"5","7","7-74","Ofav_Lauren_Plate1.csv",NA,24.1945476532,15.54508722685,NA,0.0700838027841304,0.00455185968461378,0.00200531521284594,0.00200531521284594,0.0160425217027675,-2.69781735150272,-1.79472736451077,1,"7-74.Ofav_Lauren_Plate1.csv",1,1,"FL16-5","NH4","Inhibitor","NH4 x Inhibitor","replacement"
"6","8","8-21","Ofav_Lauren_Plate1.csv",NA,24.05111312865,17.58157003785,NA,0.208088094846289,0.174079296967632,0.00908663649154378,0.00908663649154378,0.0726930919323502,-2.04159684543426,-1.13850685844232,1,"8-21.Ofav_Lauren_Plate1.csv",2,1,"FL16-16","NH4","Inhibitor","NH4 x Inhibitor","ok"
"7","4","4-57","Ofav_Lauren_Plate2.csv",NA,24.94632148745,15.3835347977,NA,0.0572927399762991,0.192182885690851,0.00106474117066437,0.00106474117066437,0.00212948234132874,-2.97275595261382,-2.67172595694984,1,"4-57.Ofav_Lauren_Plate2.csv",1,1,"FL16-30","Control","Inhibitor","Control x Inhibitor","ok"
"8","4","4-64","Ofav_Lauren_Plate2.csv",35.188782074,25.6224422455,17.45206297305,NA,0.34734128229949,0.419769124193554,0.00279511992559582,0.00279511992559582,0.00559023985119165,-2.5535995538215,-2.25256955815752,1,"4-64.Ofav_Lauren_Plate2.csv",1,1,"FL16-1","Control","Inhibitor","Control x Inhibitor","good"
"9","4","4-73","Ofav_Lauren_Plate2.csv",NA,24.1523628235,16.12549627685,NA,0.197457648144326,0.338558553417186,0.00308746527256693,0.00308746527256693,0.00617493054513386,-2.5103979185962,-2.20936792293222,1,"4-73.Ofav_Lauren_Plate2.csv",1,1,"FL16-18","NH4","Control","NH4 x Control","ok"
"10","6","6-113","Ofav_Lauren_Plate2.csv",NA,23.0255241394,14.5730041351,NA,0.181753395129857,0.576487965673262,0.00229862233818153,0.00229862233818153,0.0068958670145446,-2.63853237710694,-2.16141112238728,1,"6-113.Ofav_Lauren_Plate2.csv",2,1,"FL16-21","NH4","Control","NH4 x Control","replacement"
"11","6","6-26","Ofav_Lauren_Plate2.csv",NA,23.2984466553,15.2812694397,NA,0.0234943392455139,0.842866837876873,0.00310827088684857,0.00310827088684857,0.00932481266054571,-2.50748113931224,-2.03035988459257,1,"6-26.Ofav_Lauren_Plate2.csv",1,1,"FL16-19","Control","Control","Control x Control","epoxy"
"12","7","7-17","Ofav_Lauren_Plate2.csv",NA,22.9807662964,16.68266905215,NA,0.0155397116706485,0.585896490986559,0.0102332479468723,0.0102332479468723,0.0818659835749781,-1.98998650299071,-1.08689651599876,1,"7-17.Ofav_Lauren_Plate2.csv",1,1,"FL16-27","NH4","LPS","NH4 x LPS","okish"
