"","Sample.Name","File.Name","Of_Actin.CT.mean","Of_SC.CT.mean","Of_Actin.CT.sd","Of_SC.CT.sd","Of_Actin.Of_SC","ID","RanA"
"64","6-21","Ofav_Copy5_data.csv",19.30440330505,23.06188774105,0.428589616608483,0.405815482731589,13.5243226589762,"6-21.Ofav_Copy5_data.csv",4
"65","6-27","Ofav_Copy5_data.csv",19.32545375825,21.2561635971,0.0850503172223626,0.0653242434225989,3.8124273319442,"6-27.Ofav_Copy5_data.csv",2
"66","7-48","Ofav_Copy5_data.csv",19.0060377121,22.03828811645,0.0478100361918067,0.229942415878353,8.18084804747951,"7-48.Ofav_Copy5_data.csv",4
"67","7-66","Ofav_Copy5_data.csv",20.51294326785,23.85802936555,0.249892373756464,0.233245380101211,10.161814282809,"7-66.Ofav_Copy5_data.csv",3
"68","7-77","Ofav_Copy5_data.csv",19.08549308775,22.5865278244,0.303023028135084,0.0564498030029059,11.321825881851,"7-77.Ofav_Copy5_data.csv",3
"69","8-21","Ofav_Copy5_data.csv",23.8304643631,26.46662044525,0.246117364774765,0.0430868917688432,6.21673068894331,"8-21.Ofav_Copy5_data.csv",3
"70","8-28","Ofav_Copy5_data.csv",20.35055923465,23.42544174195,0.25186686931661,0.198013312098418,8.42620203204491,"8-28.Ofav_Copy5_data.csv",3
"71","8-3","Ofav_Copy5_data.csv",21.7306518555,24.78799057005,0.227298965554112,0.291497045190438,8.32435628710858,"8-3.Ofav_Copy5_data.csv",4
"72","8-30","Ofav_Copy5_data.csv",21.4991235733,24.65947628025,0.0487541257094876,0.404702805946509,8.94048258717963,"8-30.Ofav_Copy5_data.csv",3
"74","4-63","Ofav_CopyNumberb_Plate.csv",21.05637645725,21.3331413269,0.292642090778376,0.238212639139665,1.21147519818538,"4-63.Ofav_CopyNumberb_Plate.csv",2
"75","4-64","Ofav_CopyNumberb_Plate.csv",22.07278251645,21.0901670456,0.0668037664279406,0.0151580297137207,0.506061465782149,"4-64.Ofav_CopyNumberb_Plate.csv",2
"77","6-1","Ofav_CopyNumberb_Plate.csv",18.4852952957,19.4469327927,0.153423969457563,0.052805617897405,1.94751912649825,"6-1.Ofav_CopyNumberb_Plate.csv",2
"78","6-21","Ofav_CopyNumberb_Plate.csv",18.51619815825,20.34330272675,0.20652764990451,0.0523659419414231,3.548242392726,"6-21.Ofav_CopyNumberb_Plate.csv",4
"81","6-50","Ofav_CopyNumberb_Plate.csv",19.04830551145,19.92182064055,0.094166174786598,0.0443384846308353,1.83212143385789,"6-50.Ofav_CopyNumberb_Plate.csv",2
"82","7-48","Ofav_CopyNumberb_Plate.csv",19.45685577395,22.10429382325,0.106811578052275,0.140431950579472,6.265536502635,"7-48.Ofav_CopyNumberb_Plate.csv",4
"83","7-77","Ofav_CopyNumberb_Plate.csv",18.20293235775,21.7727575302,0.0482348764818323,0.206155408883772,11.8747494811699,"7-77.Ofav_CopyNumberb_Plate.csv",3
"86","8-28","Ofav_CopyNumberb_Plate.csv",19.2131948471,22.65877628325,0.401590008263667,0.322270313781478,10.8949029201044,"8-28.Ofav_CopyNumberb_Plate.csv",3
"87","8-3","Ofav_CopyNumberb_Plate.csv",25.1106119156,23.59746074675,0.541026618862354,0.444605419032263,0.350345150389447,"8-3.Ofav_CopyNumberb_Plate.csv",4
"88","8-30","Ofav_CopyNumberb_Plate.csv",19.87819576265,23.31926250455,0.111050539521393,0.0131943238252426,10.8608622721921,"8-30.Ofav_CopyNumberb_Plate.csv",3
