Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Copy of Ofav2_Lauren.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2017-03-31 12:27:06 PM EDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,0-NTC,Of_Actin,UNKNOWN,SYBR,None,Undetermined,35.5462722778,,,,,0,0.02,1,3,39,,N,Y
A2,8-10,Of_SC,UNKNOWN,SYBR,None,23.4837188721,23.2867736816,0.278523922,,,,0,0.02,1,3,21,,N,N
A3,8-10,Of_Actin,UNKNOWN,SYBR,None,24.2115840912,23.5958862305,0.8707296252,,,,0,0.02,1,3,21,,Y,N
A4,8-10,Of_SC,UNKNOWN,SYBR,None,23.0898265839,23.2867736816,0.278523922,,,,0,0.02,1,3,21,,N,N
A5,8-10,Of_Actin,UNKNOWN,SYBR,None,22.9801864624,23.5958862305,0.8707296252,,,,0,0.02,1,3,21,,Y,N
A6,7-78,Of_SC,UNKNOWN,SYBR,None,22.3224143982,22.5520133972,0.3247006834,,,,0,0.02,1,3,20,,N,N
A7,7-78,Of_Actin,UNKNOWN,SYBR,None,19.1423110962,19.2320079803,0.1268505454,,,,0,0.02,1,3,17,,N,N
A8,7-78,Of_SC,UNKNOWN,SYBR,None,22.7816104889,22.5520133972,0.3247006834,,,,0,0.02,1,3,21,,N,N
A9,7-78,Of_Actin,UNKNOWN,SYBR,None,19.3217048645,19.2320079803,0.1268505454,,,,0,0.02,1,3,17,,N,N
A10,6-27,Of_SC,UNKNOWN,SYBR,None,20.7202167511,20.4723930359,0.3504756689,,,,0,0.02,1,3,18,,N,N
A11,6-27,Of_Actin,UNKNOWN,SYBR,None,19.7671451569,20.0004920959,0.3300010562,,,,0,0.02,1,3,17,,N,N
A12,0-NTC,Of_SC,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,Y
B1,8-37,Of_Actin,UNKNOWN,SYBR,None,19.4430122375,19.5705909729,0.1804249287,,,,0,0.02,1,3,16,,N,N
B2,8-37,Of_SC,UNKNOWN,SYBR,None,22.2107944489,22.3969078064,0.2632053792,,,,0,0.02,1,3,20,,N,N
B3,8-37,Of_Actin,UNKNOWN,SYBR,None,19.6981716156,19.5705909729,0.1804249287,,,,0,0.02,1,3,17,,N,N
B4,8-37,Of_SC,UNKNOWN,SYBR,None,22.5830230713,22.3969078064,0.2632053792,,,,0,0.02,1,3,21,,N,N
B5,7-48,Of_Actin,UNKNOWN,SYBR,None,19.4436950684,19.4158535004,0.0393739231,,,,0,0.02,1,3,18,,N,N
B6,7-48,Of_SC,UNKNOWN,SYBR,None,21.7714157104,21.6879348755,0.118059732,,,,0,0.02,1,3,20,,N,N
B7,7-48,Of_Actin,UNKNOWN,SYBR,None,19.3880119324,19.4158535004,0.0393739231,,,,0,0.02,1,3,18,,N,N
B8,7-48,Of_SC,UNKNOWN,SYBR,None,21.6044540405,21.6879348755,0.118059732,,,,0,0.02,1,3,20,,N,N
B9,6-23,Of_Actin,UNKNOWN,SYBR,None,18.6064834595,18.5789833069,0.0388910882,,,,0,0.02,1,3,17,,N,N
B10,6-23,Of_SC,UNKNOWN,SYBR,None,20.1401863098,20.3398323059,0.2823420763,,,,0,0.02,1,3,18,,N,N
B11,6-23,Of_Actin,UNKNOWN,SYBR,None,18.5514831543,18.5789833069,0.0388910882,,,,0,0.02,1,3,16,,N,N
B12,6-23,Of_SC,UNKNOWN,SYBR,None,20.539478302,20.3398323059,0.2823420763,,,,0,0.02,1,3,19,,N,N
C1,8-3,Of_Actin,UNKNOWN,SYBR,None,23.2545413971,22.8730945587,0.5394473076,,,,0,0.02,1,3,22,,Y,N
C2,8-3,Of_SC,UNKNOWN,SYBR,None,23.8737926483,23.783821106,0.127238974,,,,0,0.02,1,3,22,,N,N
C3,8-3,Of_Actin,UNKNOWN,SYBR,None,22.4916477203,22.8730945587,0.5394473076,,,,0,0.02,1,3,21,,Y,N
C4,8-3,Of_SC,UNKNOWN,SYBR,None,23.6938495636,23.783821106,0.127238974,,,,0,0.02,1,3,22,,N,N
C5,7-80,Of_Actin,UNKNOWN,SYBR,None,19.3201503754,19.2562332153,0.0903938636,,,,0,0.02,1,3,17,,N,N
C6,7-80,Of_SC,UNKNOWN,SYBR,None,22.4760818481,22.4685020447,0.0107208099,,,,0,0.02,1,3,21,,N,N
C7,7-80,Of_Actin,UNKNOWN,SYBR,None,19.1923141479,19.2562332153,0.0903938636,,,,0,0.02,1,3,17,,N,N
C8,7-80,Of_SC,UNKNOWN,SYBR,None,22.4609203339,22.4685020447,0.0107208099,,,,0,0.02,1,3,20,,N,N
C9,6-30,Of_Actin,UNKNOWN,SYBR,None,18.9150238037,19.0565032959,0.2000808716,,,,0,0.02,1,3,17,,N,N
C10,6-30,Of_SC,UNKNOWN,SYBR,None,20.5615062714,20.9035835266,0.48376894,,,,0,0.02,1,3,19,,N,N
C11,6-30,Of_Actin,UNKNOWN,SYBR,None,19.1979808807,19.0565032959,0.2000808716,,,,0,0.02,1,3,17,,N,N
C12,6-30,Of_SC,UNKNOWN,SYBR,None,21.2456588745,20.9035835266,0.48376894,,,,0,0.02,1,3,19,,N,N
