Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_Copy.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2017-04-24 15:07:58 PM EDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
E7,7-48,Of_SC,UNKNOWN,SYBR,None,22.200881958,22.0382881165,0.2299424112,,,,0,0.02,1,3,20,,N,N
E8,7-48,Of_Actin,UNKNOWN,SYBR,None,18.9722309113,19.0060386658,0.0478100367,,,,0,0.02,1,3,16,,N,N
F1,6-109,Of_SC,UNKNOWN,SYBR,None,22.9992389679,22.8369922638,0.2294514924,,,,0,0.02,1,3,21,,N,N
F2,6-109,Of_Actin,UNKNOWN,SYBR,None,20.8327999115,20.8879547119,0.0780020133,,,,0,0.02,1,3,19,,N,N
F3,6-109,Of_SC,UNKNOWN,SYBR,None,22.6747455597,22.8369922638,0.2294514924,,,,0,0.02,1,3,20,,N,N
F4,6-109,Of_Actin,UNKNOWN,SYBR,None,20.9431114197,20.8879547119,0.0780020133,,,,0,0.02,1,3,19,,N,N
F5,8-3,Of_SC,UNKNOWN,SYBR,None,24.5818710327,24.7879905701,0.2914970517,,,,0,0.02,1,3,22,,N,N
F6,8-3,Of_Actin,UNKNOWN,SYBR,None,21.8913764954,21.7306518555,0.2272989601,,,,0,0.02,1,3,19,,N,N
F7,8-3,Of_SC,UNKNOWN,SYBR,None,24.9941101074,24.7879905701,0.2914970517,,,,0,0.02,1,3,23,,N,N
F8,8-3,Of_Actin,UNKNOWN,SYBR,None,21.5699272156,21.7306518555,0.2272989601,,,,0,0.02,1,3,19,,N,N
G5,8-28,Of_SC,UNKNOWN,SYBR,None,23.2854251862,23.4254417419,0.1980133057,,,,0,0.02,1,3,21,,N,N
G6,8-28,Of_Actin,UNKNOWN,SYBR,None,20.5286560059,20.3505592346,0.2518668771,,,,0,0.02,1,3,17,,N,N
G7,8-28,Of_SC,UNKNOWN,SYBR,None,23.5654582977,23.4254417419,0.1980133057,,,,0,0.02,1,3,21,,N,N
G8,8-28,Of_Actin,UNKNOWN,SYBR,None,20.1724624634,20.3505592346,0.2518668771,,,,0,0.02,1,3,18,,N,N
H1,0-NTC,Of_SC,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,Y
H6,8-30,Of_Actin,UNKNOWN,SYBR,None,21.5335979462,21.4991226196,0.0487541258,,,,0,0.02,1,3,19,,N,N
H7,8-30,Of_SC,UNKNOWN,SYBR,None,24.3733081818,24.6594772339,0.4047028124,,,,0,0.02,1,3,22,,N,N
H8,8-30,Of_Actin,UNKNOWN,SYBR,None,21.4646492004,21.4991226196,0.0487541258,,,,0,0.02,1,3,19,,N,N
H9,8-30,Of_SC,UNKNOWN,SYBR,None,24.9456443787,24.6594772339,0.4047028124,,,,0,0.02,1,3,23,,N,N
H12,0-NTC,Of_Actin,UNKNOWN,SYBR,None,Undetermined,20.215719223,0.9730648398,,,,0,0.02,1,3,39,,N,Y
