Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Copy of Ofav3_Lauren.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2017-04-01 13:39:09 PM EDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
D5,6-21,Of_SC,UNKNOWN,SYBR,None,20.301897049,20.3488426208,0.0663924143,,,,1,0.02,1,3,18,,N,N
D6,6-21,Of_Actin,UNKNOWN,SYBR,None,18.921831131,18.9115600586,0.0145268384,,,,1,0.02,1,3,17,,N,N
D7,6-21,Of_SC,UNKNOWN,SYBR,None,20.3957901001,20.3488426208,0.0663924143,,,,1,0.02,1,3,19,,N,N
D8,6-21,Of_Actin,UNKNOWN,SYBR,None,18.9012870789,18.9115600586,0.0145268384,,,,1,0.02,1,3,17,,N,N
D9,8-15,Of_SC,UNKNOWN,SYBR,None,22.7083587646,22.714963913,0.00934109,,,,1,0.02,1,3,21,,N,N
D10,8-15,Of_Actin,UNKNOWN,SYBR,None,19.7209815979,19.8302364349,0.1545096785,,,,1,0.02,1,3,18,,N,N
D11,8-15,Of_SC,UNKNOWN,SYBR,None,22.7215690613,22.714963913,0.00934109,,,,1,0.02,1,3,21,,N,N
D12,8-15,Of_Actin,UNKNOWN,SYBR,None,19.939491272,19.8302364349,0.1545096785,,,,1,0.02,1,3,17,,N,N
E1,6-99,Of_SC,UNKNOWN,SYBR,None,23.3140506744,22.9474124908,0.5185046792,,,,1,0.02,1,3,22,,Y,N
E2,6-99,Of_Actin,UNKNOWN,SYBR,None,25.4751338959,24.4774188995,1.410982132,,,,1,0.02,1,3,24,,Y,N
E3,6-99,Of_SC,UNKNOWN,SYBR,None,22.5807743073,22.9474124908,0.5185046792,,,,1,0.02,1,3,21,,Y,N
E4,6-99,Of_Actin,UNKNOWN,SYBR,None,23.4797039032,24.4774188995,1.410982132,,,,1,0.02,1,3,22,,Y,N
E5,7-58,Of_SC,UNKNOWN,SYBR,None,22.7634410858,22.6239509583,0.1972701848,,,,1,0.02,1,3,21,,N,N
E6,7-58,Of_Actin,UNKNOWN,SYBR,None,19.8945503235,20.029094696,0.1902758181,,,,1,0.02,1,3,17,,N,N
E7,7-58,Of_SC,UNKNOWN,SYBR,None,22.4844589233,22.6239509583,0.1972701848,,,,1,0.02,1,3,20,,N,N
E8,7-58,Of_Actin,UNKNOWN,SYBR,None,20.163640976,20.029094696,0.1902758181,,,,1,0.02,1,3,18,,N,N
E9,8-24,Of_SC,UNKNOWN,SYBR,None,24.3732299805,24.9848709106,0.8649922609,,,,1,0.02,1,3,22,,Y,N
E10,8-24,Of_Actin,UNKNOWN,SYBR,None,34.7344779968,33.2675628662,2.0745313168,,,,1,0.02,1,3,34,,Y,N
E11,8-24,Of_SC,UNKNOWN,SYBR,None,25.5965137482,24.9848709106,0.8649922609,,,,1,0.02,1,3,24,,Y,N
E12,8-24,Of_Actin,UNKNOWN,SYBR,None,31.8006477356,33.2675628662,2.0745313168,,,,1,0.02,1,3,31,,Y,N
F1,4-61,Of_SC,UNKNOWN,SYBR,None,19.6955413818,19.5353660583,0.2265207618,,,,1,0.02,1,3,18,,N,N
F2,4-61,Of_Actin,UNKNOWN,SYBR,None,18.6429424286,18.666267395,0.0329851359,,,,1,0.02,1,3,17,,N,N
F3,4-61,Of_SC,UNKNOWN,SYBR,None,19.3751926422,19.5353660583,0.2265207618,,,,1,0.02,1,3,17,,N,N
F4,4-61,Of_Actin,UNKNOWN,SYBR,None,18.6895904541,18.666267395,0.0329851359,,,,1,0.02,1,3,17,,N,N
F5,4-65,Of_SC,UNKNOWN,SYBR,None,19.7228088379,19.9004859924,0.2512734532,,,,1,0.02,1,3,18,,N,N
F6,4-65,Of_Actin,UNKNOWN,SYBR,None,19.594953537,19.6317520142,0.0520409048,,,,1,0.02,1,3,17,,N,N
F7,4-65,Of_SC,UNKNOWN,SYBR,None,20.078163147,19.9004859924,0.2512734532,,,,1,0.02,1,3,18,,N,N
F8,4-65,Of_Actin,UNKNOWN,SYBR,None,19.6685504913,19.6317520142,0.0520409048,,,,1,0.02,1,3,18,,N,N
F9,8-17,Of_SC,UNKNOWN,SYBR,None,23.6585121155,24.0221595764,0.5142751932,,,,1,0.02,1,3,22,,Y,N
F10,8-17,Of_Actin,UNKNOWN,SYBR,None,20.6086978912,20.9312515259,0.4561597109,,,,1,0.02,1,3,19,,N,N
F11,8-17,Of_SC,UNKNOWN,SYBR,None,24.3858070374,24.0221595764,0.5142751932,,,,1,0.02,1,3,21,,Y,N
F12,8-17,Of_Actin,UNKNOWN,SYBR,None,21.2538051605,20.9312515259,0.4561597109,,,,1,0.02,1,3,18,,N,N
G1,6-109,Of_SC,UNKNOWN,SYBR,None,21.6830596924,21.8088150024,0.1778462082,,,,1,0.02,1,3,20,,N,N
G2,6-109,Of_Actin,UNKNOWN,SYBR,None,21.7856178284,21.6965274811,0.125992775,,,,1,0.02,1,3,19,,N,N
G3,6-109,Of_SC,UNKNOWN,SYBR,None,21.9345722198,21.8088150024,0.1778462082,,,,1,0.02,1,3,19,,N,N
G4,6-109,Of_Actin,UNKNOWN,SYBR,None,21.6074371338,21.6965274811,0.125992775,,,,1,0.02,1,3,20,,N,N
G5,7-49,Of_SC,UNKNOWN,SYBR,None,24.594581604,24.5464439392,0.0680782869,,,,1,0.02,1,3,22,,N,N
G6,7-49,Of_Actin,UNKNOWN,SYBR,None,22.2547245026,22.1273670197,0.1801106781,,,,1,0.02,1,3,20,,N,N
G7,7-49,Of_SC,UNKNOWN,SYBR,None,24.4983043671,24.5464439392,0.0680782869,,,,1,0.02,1,3,23,,N,N
G8,7-49,Of_Actin,UNKNOWN,SYBR,None,22.0000095367,22.1273670197,0.1801106781,,,,1,0.02,1,3,20,,N,N
G9,7-66,Of_SC,UNKNOWN,SYBR,None,22.7869167328,22.7343864441,0.0742890462,,,,1,0.02,1,3,21,,N,N
G10,7-66,Of_Actin,UNKNOWN,SYBR,None,19.0033245087,19.4056777954,0.5690121055,,,,1,0.02,1,3,17,,Y,N
G11,7-66,Of_SC,UNKNOWN,SYBR,None,22.6818561554,22.7343864441,0.0742890462,,,,1,0.02,1,3,21,,N,N
G12,7-66,Of_Actin,UNKNOWN,SYBR,None,19.8080291748,19.4056777954,0.5690121055,,,,1,0.02,1,3,17,,Y,N
H1,0-NTC,Of_SC,UNKNOWN,SYBR,None,Undetermined,,,,,,1,0.02,1,3,39,,N,Y
H2,4-70,Of_Actin,UNKNOWN,SYBR,None,18.7400588989,18.7945022583,0.0769958869,,,,1,0.02,1,3,16,,N,N
H3,4-70,Of_SC,UNKNOWN,SYBR,None,20.3881893158,20.1644210815,0.3164560795,,,,1,0.02,1,3,18,,N,N
H4,4-70,Of_Actin,UNKNOWN,SYBR,None,18.848947525,18.7945022583,0.0769958869,,,,1,0.02,1,3,17,,N,N
H5,4-70,Of_SC,UNKNOWN,SYBR,None,19.9406528473,20.1644210815,0.3164560795,,,,1,0.02,1,3,18,,N,N
H6,4-66,Of_Actin,UNKNOWN,SYBR,None,20.5628471375,20.6586074829,0.1354242265,,,,1,0.02,1,3,19,,N,N
H7,4-66,Of_SC,UNKNOWN,SYBR,None,19.9717693329,19.9772472382,0.0077469279,,,,1,0.02,1,3,18,,N,N
H8,4-66,Of_Actin,UNKNOWN,SYBR,None,20.754365921,20.6586074829,0.1354242265,,,,1,0.02,1,3,19,,N,N
H9,4-66,Of_SC,UNKNOWN,SYBR,None,19.9827251434,19.9772472382,0.0077469279,,,,1,0.02,1,3,17,,N,N
H10,7-50,Of_Actin,UNKNOWN,SYBR,None,22.8276691437,24.1457939148,1.8641113043,,,,1,0.02,1,3,21,,Y,N
H11,7-50,Of_SC,UNKNOWN,SYBR,None,23.9888114929,24.3243579865,0.4745343924,,,,1,0.02,1,3,22,,N,N
H12,0-NTC,Of_Actin,UNKNOWN,SYBR,None,Undetermined,,,,,,1,0.02,1,3,39,,N,Y
