Block Type,96well,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Copy of Ofav4_Lauren.eds,,,,,,,,,,,,,,,,,
Experiment Run End Time,2017-04-05 14:33:09 PM EDT,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD
A1,0-NTC,Of_SC,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N
A2,4-66,Of_Actin,UNKNOWN,SYBR,None,21.6684741974,22.5330638885,1.2227144241,,,,0,0.02,1,3,19,,Y
A3,4-66,Of_SC,UNKNOWN,SYBR,None,20.2420406342,20.0143013,0.3220720589,,,,0,0.02,1,3,18,,N
A4,4-66,Of_Actin,UNKNOWN,SYBR,None,23.3976535797,22.5330638885,1.2227144241,,,,0,0.02,1,3,22,,Y
A5,4-66,Of_SC,UNKNOWN,SYBR,None,19.7865619659,20.0143013,0.3220720589,,,,0,0.02,1,3,18,,N
A6,7-76,Of_Actin,UNKNOWN,SYBR,None,21.1998233795,20.8854503632,0.4445905685,,,,0,0.02,1,3,19,,N
A7,7-76,Of_SC,UNKNOWN,SYBR,None,22.4542541504,22.2740592957,0.2548339963,,,,0,0.02,1,3,21,,N
A8,7-76,Of_Actin,UNKNOWN,SYBR,None,20.5710773468,20.8854503632,0.4445905685,,,,0,0.02,1,3,19,,N
A9,7-76,Of_SC,UNKNOWN,SYBR,None,22.0938644409,22.2740592957,0.2548339963,,,,0,0.02,1,3,20,,N
A10,8-35,Of_Actin,UNKNOWN,SYBR,None,19.9249382019,19.7972068787,0.1806393713,,,,0,0.02,1,3,18,,N
A11,8-35,Of_SC,UNKNOWN,SYBR,None,23.0919704437,22.8690128326,0.3153096735,,,,0,0.02,1,3,20,,N
A12,0-NTC,Of_Actin,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N
B1,4-71,Of_SC,UNKNOWN,SYBR,None,20.5326099396,20.4446258545,0.1244269386,,,,0,0.02,1,3,19,,N
B2,4-71,Of_Actin,UNKNOWN,SYBR,None,21.1025524139,21.1883888245,0.1213896647,,,,0,0.02,1,3,19,,N
B3,4-71,Of_SC,UNKNOWN,SYBR,None,20.3566436768,20.4446258545,0.1244269386,,,,0,0.02,1,3,18,,N
B4,4-71,Of_Actin,UNKNOWN,SYBR,None,21.2742233276,21.1883888245,0.1213896647,,,,0,0.02,1,3,19,,N
