Block Type,96well,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Copy of Ofav4_Lauren.eds,,,,,,,,,,,,,,,,,
Experiment Run End Time,2017-04-05 14:33:09 PM EDT,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD
B5,7-48,Of_SC,UNKNOWN,SYBR,None,21.4371604919,21.7566833496,0.4518749118,,,,0,0.02,1,3,20,,N
B6,7-48,Of_Actin,UNKNOWN,SYBR,None,19.0097789764,19.2388496399,0.3239534795,,,,0,0.02,1,3,17,,N
B7,7-48,Of_SC,UNKNOWN,SYBR,None,22.0762081146,21.7566833496,0.4518749118,,,,0,0.02,1,3,20,,N
B8,7-48,Of_Actin,UNKNOWN,SYBR,None,19.467918396,19.2388496399,0.3239534795,,,,0,0.02,1,3,18,,N
B9,4-65,Of_SC,UNKNOWN,SYBR,None,19.7228946686,19.5157356262,0.2929657698,,,,0,0.02,1,3,18,,N
B10,4-65,Of_Actin,UNKNOWN,SYBR,None,18.890625,19.0818786621,0.2704748809,,,,0,0.02,1,3,17,,N
B11,4-65,Of_SC,UNKNOWN,SYBR,None,19.3085784912,19.5157356262,0.2929657698,,,,0,0.02,1,3,17,,N
B12,4-65,Of_Actin,UNKNOWN,SYBR,None,19.2731342316,19.0818786621,0.2704748809,,,,0,0.02,1,3,17,,N
C1,4-42b,Of_SC,UNKNOWN,SYBR,None,20.2505321503,19.9674110413,0.4003950655,,,,0,0.02,1,3,17,,N
C2,4-42b,Of_Actin,UNKNOWN,SYBR,None,18.8161907196,19.0047073364,0.2666014135,,,,0,0.02,1,3,17,,N
C3,4-42b,Of_SC,UNKNOWN,SYBR,None,19.6842880249,19.9674110413,0.4003950655,,,,0,0.02,1,3,17,,N
C4,4-42b,Of_Actin,UNKNOWN,SYBR,None,19.1932220459,19.0047073364,0.2666014135,,,,0,0.02,1,3,17,,N
C5,7-77,Of_SC,UNKNOWN,SYBR,None,21.9134902954,22.0159912109,0.1449595392,,,,0,0.02,1,3,20,,N
C6,7-77,Of_Actin,UNKNOWN,SYBR,None,18.3977661133,18.1947879791,0.2870544195,,,,0,0.02,1,3,16,,N
C7,7-77,Of_SC,UNKNOWN,SYBR,None,22.1184940338,22.0159912109,0.1449595392,,,,0,0.02,1,3,20,,N
C8,7-77,Of_Actin,UNKNOWN,SYBR,None,17.991809845,18.1947879791,0.2870544195,,,,0,0.02,1,3,16,,N
C9,6-34b,Of_SC,UNKNOWN,SYBR,None,19.6368751526,19.6976451874,0.0859418064,,,,0,0.02,1,3,18,,N
C10,6-34b,Of_Actin,UNKNOWN,SYBR,None,18.0103740692,18.2647972107,0.3598073125,,,,0,0.02,1,3,16,,N
C11,6-34b,Of_SC,UNKNOWN,SYBR,None,19.7584152222,19.6976451874,0.0859418064,,,,0,0.02,1,3,18,,N
C12,6-34b,Of_Actin,UNKNOWN,SYBR,None,18.5192184448,18.2647972107,0.3598073125,,,,0,0.02,1,3,16,,N
D1,4-70,Of_SC,UNKNOWN,SYBR,None,19.5141220093,19.6262569427,0.158582747,,,,0,0.02,1,3,18,,N
D2,4-70,Of_Actin,UNKNOWN,SYBR,None,18.5052528381,18.479516983,0.0363959968,,,,0,0.02,1,3,16,,N
D3,4-70,Of_SC,UNKNOWN,SYBR,None,19.7383918762,19.6262569427,0.158582747,,,,0,0.02,1,3,18,,N
D4,4-70,Of_Actin,UNKNOWN,SYBR,None,18.4537811279,18.479516983,0.0363959968,,,,0,0.02,1,3,16,,N
D5,7-66,Of_SC,UNKNOWN,SYBR,None,22.4479408264,22.4914035797,0.0614656135,,,,0,0.02,1,3,20,,N
D6,7-66,Of_Actin,UNKNOWN,SYBR,None,19.4931373596,19.3837547302,0.1546903998,,,,0,0.02,1,3,18,,N
D7,7-66,Of_SC,UNKNOWN,SYBR,None,22.534866333,22.4914035797,0.0614656135,,,,0,0.02,1,3,21,,N
D8,7-66,Of_Actin,UNKNOWN,SYBR,None,19.2743721008,19.3837547302,0.1546903998,,,,0,0.02,1,3,17,,N
D9,6-39,Of_SC,UNKNOWN,SYBR,None,19.9668197632,20.0513038635,0.119478561,,,,0,0.02,1,3,18,,N
D10,6-39,Of_Actin,UNKNOWN,SYBR,None,18.6927394867,19.0069160461,0.4443127513,,,,0,0.02,1,3,17,,N
D11,6-39,Of_SC,UNKNOWN,SYBR,None,20.1357879639,20.0513038635,0.119478561,,,,0,0.02,1,3,18,,N
D12,6-39,Of_Actin,UNKNOWN,SYBR,None,19.3210926056,19.0069160461,0.4443127513,,,,0,0.02,1,3,17,,N
E1,6-109,Of_SC,UNKNOWN,SYBR,None,21.5911598206,21.3365135193,0.3601256013,,,,0,0.02,1,3,20,,N
E2,6-109,Of_Actin,UNKNOWN,SYBR,None,20.6215000153,20.7997970581,0.2521487474,,,,0,0.02,1,3,19,,N
E3,6-109,Of_SC,UNKNOWN,SYBR,None,21.0818653107,21.3365135193,0.3601256013,,,,0,0.02,1,3,19,,N
E4,6-109,Of_Actin,UNKNOWN,SYBR,None,20.9780921936,20.7997970581,0.2521487474,,,,0,0.02,1,3,19,,N
E5,8-3,Of_SC,UNKNOWN,SYBR,None,23.4641742706,23.40076828,0.0896682665,,,,0,0.02,1,3,22,,N
E6,8-3,Of_Actin,UNKNOWN,SYBR,None,23.7446231842,23.4088897705,0.474798739,,,,0,0.02,1,3,22,,N
E7,8-3,Of_SC,UNKNOWN,SYBR,None,23.3373641968,23.40076828,0.0896682665,,,,0,0.02,1,3,21,,N
E8,8-3,Of_Actin,UNKNOWN,SYBR,None,23.0731563568,23.4088897705,0.474798739,,,,0,0.02,1,3,22,,N
E9,7-74,Of_SC,UNKNOWN,SYBR,None,22.9314479828,22.7758026123,0.2201171368,,,,0,0.02,1,3,22,,N
E10,7-74,Of_Actin,UNKNOWN,SYBR,None,22.0056972504,21.6270828247,0.5354430079,,,,0,0.02,1,3,20,,Y
E11,7-74,Of_SC,UNKNOWN,SYBR,None,22.6201553345,22.7758026123,0.2201171368,,,,0,0.02,1,3,21,,N
E12,7-74,Of_Actin,UNKNOWN,SYBR,None,21.2484664917,21.6270828247,0.5354430079,,,,0,0.02,1,3,19,,Y
F1,6-27b,Of_SC,UNKNOWN,SYBR,None,19.9908237457,20.0781650543,0.1235192642,,,,0,0.02,1,3,18,,N
F2,6-27b,Of_Actin,UNKNOWN,SYBR,None,18.8268070221,18.7951965332,0.0447053313,,,,0,0.02,1,3,17,,N
F3,6-27b,Of_SC,UNKNOWN,SYBR,None,20.1655063629,20.0781650543,0.1235192642,,,,0,0.02,1,3,18,,N
F4,6-27b,Of_Actin,UNKNOWN,SYBR,None,18.763584137,18.7951965332,0.0447053313,,,,0,0.02,1,3,17,,N
F5,8-21,Of_SC,UNKNOWN,SYBR,None,23.5403175354,23.600894928,0.0856707171,,,,0,0.02,1,3,22,,N
F6,8-21,Of_Actin,UNKNOWN,SYBR,None,23.3123874664,23.2473373413,0.0919947699,,,,0,0.02,1,3,22,,N
F7,8-21,Of_SC,UNKNOWN,SYBR,None,23.6614742279,23.600894928,0.0856707171,,,,0,0.02,1,3,22,,N
F8,8-21,Of_Actin,UNKNOWN,SYBR,None,23.1822872162,23.2473373413,0.0919947699,,,,0,0.02,1,3,22,,N
F9,7-53,Of_SC,UNKNOWN,SYBR,None,24.0688610077,24.1261558533,0.0810284987,,,,0,0.02,1,3,22,,N
F10,7-53,Of_Actin,UNKNOWN,SYBR,None,24.0587158203,23.4695453644,0.8332128525,,,,0,0.02,1,3,22,,Y
F11,7-53,Of_SC,UNKNOWN,SYBR,None,24.1834526062,24.1261558533,0.0810284987,,,,0,0.02,1,3,21,,N
F12,7-53,Of_Actin,UNKNOWN,SYBR,None,22.8803749084,23.4695453644,0.8332128525,,,,0,0.02,1,3,20,,Y
G1,6-21,Of_SC,UNKNOWN,SYBR,None,20.2213096619,20.2493495941,0.0396544524,,,,0,0.02,1,3,18,,N
G2,6-21,Of_Actin,UNKNOWN,SYBR,None,18.7177867889,18.6460990906,0.1013830677,,,,0,0.02,1,3,17,,N
G3,6-21,Of_SC,UNKNOWN,SYBR,None,20.2773895264,20.2493495941,0.0396544524,,,,0,0.02,1,3,18,,N
G4,6-21,Of_Actin,UNKNOWN,SYBR,None,18.5744094849,18.6460990906,0.1013830677,,,,0,0.02,1,3,17,,N
G5,8-30,Of_SC,UNKNOWN,SYBR,None,23.3217887878,23.456867218,0.1910310984,,,,0,0.02,1,3,21,,N
G6,8-30,Of_Actin,UNKNOWN,SYBR,None,20.5512504578,20.2296447754,0.454819113,,,,0,0.02,1,3,18,,N
G7,8-30,Of_SC,UNKNOWN,SYBR,None,23.5919475555,23.456867218,0.1910310984,,,,0,0.02,1,3,21,,N
G8,8-30,Of_Actin,UNKNOWN,SYBR,None,19.908039093,20.2296447754,0.454819113,,,,0,0.02,1,3,18,,N
G9,8-27,Of_SC,UNKNOWN,SYBR,None,21.9848537445,22.1952877045,0.2975985706,,,,0,0.02,1,3,20,,N
G10,8-27,Of_Actin,UNKNOWN,SYBR,None,18.9334201813,19.2770462036,0.485960573,,,,0,0.02,1,3,17,,N
G11,8-27,Of_SC,UNKNOWN,SYBR,None,22.4057216644,22.1952877045,0.2975985706,,,,0,0.02,1,3,21,,N
G12,8-27,Of_Actin,UNKNOWN,SYBR,None,19.620672226,19.2770462036,0.485960573,,,,0,0.02,1,3,17,,N
H1,0-NTC,Of_SC,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N
H2,6-30b,Of_Actin,UNKNOWN,SYBR,None,19.7716903687,19.4913291931,0.3964892328,,,,0,0.02,1,3,18,,N
H3,6-30b,Of_SC,UNKNOWN,SYBR,None,21.6567115784,21.4048805237,0.3561442494,,,,0,0.02,1,3,19,,N
H4,6-30b,Of_Actin,UNKNOWN,SYBR,None,19.2109699249,19.4913291931,0.3964892328,,,,0,0.02,1,3,17,,N
H5,6-30b,Of_SC,UNKNOWN,SYBR,None,21.1530475616,21.4048805237,0.3561442494,,,,0,0.02,1,3,19,,N
H6,8-28,Of_Actin,UNKNOWN,SYBR,None,18.9959907532,19.4072723389,0.5816413164,,,,0,0.02,1,3,17,,Y
H7,8-28,Of_SC,UNKNOWN,SYBR,None,22.5035400391,22.5685329437,0.0919138491,,,,0,0.02,1,3,20,,N
H8,8-28,Of_Actin,UNKNOWN,SYBR,None,19.8185558319,19.4072723389,0.5816413164,,,,0,0.02,1,3,18,,Y
H9,8-28,Of_SC,UNKNOWN,SYBR,None,22.6335258484,22.5685329437,0.0919138491,,,,0,0.02,1,3,20,,N
H10,8-35,Of_Actin,UNKNOWN,SYBR,None,19.6694755554,19.7972068787,0.1806393713,,,,0,0.02,1,3,18,,N
H11,8-35,Of_SC,UNKNOWN,SYBR,None,22.6460552216,22.8690128326,0.3153096735,,,,0,0.02,1,3,20,,N
H12,0-NTC,Of_Actin,NTC,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N
