Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_Lauren_plate4.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-29 12:52:48 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
C7,7-43,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C7,7-43,D,UNKNOWN,FAM,NFQ-MGB,23.1228179932,23.2444782257,0.1720535457,,,,0,0.01,1,3,22,,N,Y,Y
C8,7-43,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C8,7-43,D,UNKNOWN,FAM,NFQ-MGB,23.3661384583,23.2444782257,0.1720535457,,,,0,0.01,1,3,22,,N,Y,Y
C9,7-43,Ofav,UNKNOWN,FAM,NFQ-MGB,23.6394004822,23.5882644653,0.0723172501,,,,0,0.01,1,3,22,,N,N,N
C10,7-43,Ofav,UNKNOWN,FAM,NFQ-MGB,23.5371284485,23.5882644653,0.0723172501,,,,0,0.01,1,3,22,,N,N,N
C11,7-43,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
C12,7-43,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
D1,7-53,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
D2,7-53,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
D3,7-53,Ofav,UNKNOWN,FAM,NFQ-MGB,23.9691123962,23.9393196106,0.0421333611,,,,0,0.01,1,3,22,,N,N,N
D4,7-53,Ofav,UNKNOWN,FAM,NFQ-MGB,23.909526825,23.9393196106,0.0421333611,,,,0,0.01,1,3,22,,N,N,N
D5,7-53,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D5,7-53,D,UNKNOWN,FAM,NFQ-MGB,23.4649753571,23.4256019592,0.0556810461,,,,0,0.01,1,3,22,,N,Y,Y
D6,7-53,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D6,7-53,D,UNKNOWN,FAM,NFQ-MGB,23.3862304688,23.4256019592,0.0556810461,,,,0,0.01,1,3,22,,N,Y,Y
D7,7-62,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D7,7-62,D,UNKNOWN,FAM,NFQ-MGB,23.8341407776,23.9756698608,0.2001523525,,,,0,0.01,1,3,23,,N,Y,Y
D8,7-62,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D8,7-62,D,UNKNOWN,FAM,NFQ-MGB,24.1171989441,23.9756698608,0.2001523525,,,,0,0.01,1,3,23,,N,Y,Y
D9,7-62,Ofav,UNKNOWN,FAM,NFQ-MGB,22.7838802338,22.9789638519,0.2758899033,,,,0,0.01,1,3,21,,N,N,N
D10,7-62,Ofav,UNKNOWN,FAM,NFQ-MGB,23.1740474701,22.9789638519,0.2758899033,,,,0,0.01,1,3,22,,N,N,N
D11,7-62,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
D12,7-62,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
E1,8-10,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
E2,8-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E3,8-10,Ofav,UNKNOWN,FAM,NFQ-MGB,23.904214859,24.0012130737,0.1371748447,,,,0,0.01,1,3,23,,N,N,N
E4,8-10,Ofav,UNKNOWN,FAM,NFQ-MGB,24.0982093811,24.0012130737,0.1371748447,,,,0,0.01,1,3,22,,N,N,N
E5,8-10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E5,8-10,D,UNKNOWN,FAM,NFQ-MGB,24.3250923157,24.4617462158,0.1932577938,,,,0,0.01,1,3,23,,N,Y,Y
E6,8-10,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E6,8-10,D,UNKNOWN,FAM,NFQ-MGB,24.598400116,24.4617462158,0.1932577938,,,,0,0.01,1,3,24,,N,Y,Y
E7,8-30,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E7,8-30,D,UNKNOWN,FAM,NFQ-MGB,23.9362163544,23.9090461731,0.0384257883,,,,0,0.01,1,3,23,,N,Y,Y
E8,8-30,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E8,8-30,D,UNKNOWN,FAM,NFQ-MGB,23.8818740845,23.9090461731,0.0384257883,,,,0,0.01,1,3,23,,N,Y,Y
E9,8-30,Ofav,UNKNOWN,FAM,NFQ-MGB,24.3021011353,24.5261878967,0.3169078827,,,,0,0.01,1,3,23,,N,N,N
E10,8-30,Ofav,UNKNOWN,FAM,NFQ-MGB,24.7502765656,24.5261878967,0.3169078827,,,,0,0.01,1,3,24,,N,N,N
E11,8-30,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
E12,8-30,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
F1,8-37,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
F2,8-37,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F3,8-37,Ofav,UNKNOWN,FAM,NFQ-MGB,23.109992981,23.2746124268,0.2328083962,,,,0,0.01,1,3,22,,N,N,N
F4,8-37,Ofav,UNKNOWN,FAM,NFQ-MGB,23.4392337799,23.2746124268,0.2328083962,,,,0,0.01,1,3,22,,N,N,N
F5,8-37,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F5,8-37,D,UNKNOWN,FAM,NFQ-MGB,23.8715286255,24.0780792236,0.2921066582,,,,0,0.01,1,3,23,,N,Y,Y
F6,8-37,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F6,8-37,D,UNKNOWN,FAM,NFQ-MGB,24.2846298218,24.0780792236,0.2921066582,,,,0,0.01,1,3,23,,N,Y,Y
F7,8-28,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F7,8-28,D,UNKNOWN,FAM,NFQ-MGB,22.9166126251,22.9338054657,0.0243143477,,,,0,0.01,1,3,22,,N,Y,Y
F8,8-28,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F8,8-28,D,UNKNOWN,FAM,NFQ-MGB,22.9509983063,22.9338054657,0.0243143477,,,,0,0.01,1,3,22,,N,Y,Y
F9,8-28,Ofav,UNKNOWN,FAM,NFQ-MGB,24.1824169159,24.1247463226,0.081558533,,,,0,0.01,1,3,23,,N,N,N
F10,8-28,Ofav,UNKNOWN,FAM,NFQ-MGB,24.0670757294,24.1247463226,0.081558533,,,,0,0.01,1,3,23,,N,N,N
F11,8-28,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F12,8-28,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
G1,8-8,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
G2,8-8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
G3,8-8,Ofav,UNKNOWN,FAM,NFQ-MGB,23.4649448395,23.4226570129,0.05980267,,,,0,0.01,1,3,22,,N,N,N
G4,8-8,Ofav,UNKNOWN,FAM,NFQ-MGB,23.3803710938,23.4226570129,0.05980267,,,,0,0.01,1,3,21,,N,N,N
G5,8-8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
G5,8-8,D,UNKNOWN,FAM,NFQ-MGB,22.615940094,22.6537590027,0.0534853637,,,,0,0.01,1,3,21,,N,Y,Y
G6,8-8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
G6,8-8,D,UNKNOWN,FAM,NFQ-MGB,22.6915798187,22.6537590027,0.0534853637,,,,0,0.01,1,3,22,,N,Y,Y
G7,4-70,C,UNKNOWN,VIC,NFQ-MGB,38.9891738892,38.9891738892,,,,,0,0.01,1,3,39,,N,Y,Y
G7,4-70,D,UNKNOWN,FAM,NFQ-MGB,25.0990715027,24.9015789032,0.279296726,,,,0,0.01,1,3,24,,N,Y,Y
