Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_Lauren_Plate6.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-30 19:32:34 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,6-119A,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,6-37,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A3,6-44,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A4,6-99,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A5,6-7,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A6,6-118,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A7,6-21,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A8,6-50,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A9,6-39,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A10,6-1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A11,6-119B,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A12,NTC,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
B1,6-119A,Ofav,UNKNOWN,FAM,NFQ-MGB,23.2705860138,23.3687782288,0.1388661116,,,,0,0.01,1,3,21,,N,N,N
B2,6-37,Ofav,UNKNOWN,FAM,NFQ-MGB,23.4523849487,23.1879043579,0.3740333915,,,,0,0.01,1,3,22,,N,N,N
B3,6-44,Ofav,UNKNOWN,FAM,NFQ-MGB,23.9326896667,23.470199585,0.6540583968,,,,0,0.01,1,3,22,,Y,N,N
B4,6-99,Ofav,UNKNOWN,FAM,NFQ-MGB,23.2867355347,23.6159934998,0.4656424224,,,,0,0.01,1,3,22,,N,N,N
B5,6-7,Ofav,UNKNOWN,FAM,NFQ-MGB,23.947429657,23.8235054016,0.1752567142,,,,0,0.01,1,3,22,,N,N,N
B6,6-118,Ofav,UNKNOWN,FAM,NFQ-MGB,22.1402549744,22.891418457,1.0623042583,,,,0,0.01,1,3,21,,Y,N,N
B7,6-21,Ofav,UNKNOWN,FAM,NFQ-MGB,24.5418052673,23.7475280762,1.1232762337,,,,0,0.01,1,3,23,,Y,N,N
B8,6-50,Ofav,UNKNOWN,FAM,NFQ-MGB,22.3875999451,22.4914588928,0.1468773782,,,,0,0.01,1,3,21,,N,N,N
B9,6-39,Ofav,UNKNOWN,FAM,NFQ-MGB,22.9282608032,22.7824268341,0.2062403709,,,,0,0.01,1,3,21,,N,N,N
B10,6-1,Ofav,UNKNOWN,FAM,NFQ-MGB,21.9016036987,22.5470314026,0.9127739668,,,,0,0.01,1,3,21,,Y,N,N
B11,6-119B,Ofav,UNKNOWN,FAM,NFQ-MGB,23.7174777985,22.9514770508,1.0832872391,,,,0,0.01,1,3,22,,Y,N,N
B12,NTC,Ofav,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
C1,6-119A,C,UNKNOWN,VIC,NFQ-MGB,37.9628067017,37.9628067017,,,,,0,0.01,1,3,39,,N,N,Y
