Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\N_SsidANDOfav_Plate156.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-10-13 12:08:30 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
B9,6-99,Ofav,UNKNOWN,FAM,NFQ-MGB,22.9495677948,23.4075527191,0.647688508,,,,0,0.01,1,3,21,,Y,N,N
B10,6-99,Ofav,UNKNOWN,FAM,NFQ-MGB,23.8655376434,23.4075527191,0.647688508,,,,0,0.01,1,3,23,,Y,N,N
B11,6-99,C,UNKNOWN,VIC,NFQ-MGB,27.0872936249,28.4006004333,1.8572949171,,,,0,0.01,1,3,27,,Y,N,N
B11,6-99,D,UNKNOWN,FAM,NFQ-MGB,22.606388092,23.4347991943,1.1715502739,,,,0,0.01,1,3,22,,Y,N,N
B12,6-99,C,UNKNOWN,VIC,NFQ-MGB,29.7139053345,28.4006004333,1.8572949171,,,,0,0.01,1,3,28,,Y,N,N
B12,6-99,D,UNKNOWN,FAM,NFQ-MGB,24.2632102966,23.4347991943,1.1715502739,,,,0,0.01,1,3,23,,Y,N,N
C9,6-113,Ofav,UNKNOWN,FAM,NFQ-MGB,21.033700943,21.0192451477,0.0204422325,,,,0,0.01,1,3,20,,N,N,N
C10,6-113,Ofav,UNKNOWN,FAM,NFQ-MGB,21.0047912598,21.0192451477,0.0204422325,,,,0,0.01,1,3,19,,N,N,N
C11,6-113,C,UNKNOWN,VIC,NFQ-MGB,36.8065719604,36.8065719604,,,,,0,0.01,1,3,39,,N,N,Y
C11,6-113,D,UNKNOWN,FAM,NFQ-MGB,22.584602356,22.7922973633,0.2937264442,,,,0,0.01,1,3,21,,N,N,Y
C12,6-113,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.8065719604,,,,,0,0.01,1,3,39,,N,Y,Y
C12,6-113,D,UNKNOWN,FAM,NFQ-MGB,22.999994278,22.7922973633,0.2937264442,,,,0,0.01,1,3,22,,N,Y,Y
D5,4-69,Ofav,UNKNOWN,FAM,NFQ-MGB,21.9045810699,21.9106636047,0.0086020036,,,,0,0.01,1,3,20,,N,N,N
D6,4-69,Ofav,UNKNOWN,FAM,NFQ-MGB,21.9167461395,21.9106636047,0.0086020036,,,,0,0.01,1,3,20,,N,N,N
D7,4-69,C,UNKNOWN,VIC,NFQ-MGB,39.8373146057,37.7299232483,2.9803013802,,,,0,0.01,1,3,39,,Y,Y,Y
D7,4-69,D,UNKNOWN,FAM,NFQ-MGB,24.2484474182,24.3664360046,0.1668597162,,,,0,0.01,1,3,23,,Y,Y,Y
D8,4-69,C,UNKNOWN,VIC,NFQ-MGB,35.6225318909,37.7299232483,2.9803013802,,,,0,0.01,1,3,39,,Y,N,Y
D8,4-69,D,UNKNOWN,FAM,NFQ-MGB,24.4844226837,24.3664360046,0.1668597162,,,,0,0.01,1,3,23,,Y,N,Y
D9,8-32,Ofav,UNKNOWN,FAM,NFQ-MGB,23.3809146881,23.471660614,0.1283327639,,,,0,0.01,1,3,21,,N,N,N
D10,8-32,Ofav,UNKNOWN,FAM,NFQ-MGB,23.5624046326,23.471660614,0.1283327639,,,,0,0.01,1,3,22,,N,N,N
