Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_Lauren_Plate7.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-30 21:37:06 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,SPIKE,NOSIGNAL,EXPFAIL
A1,NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
A2,7-40,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
A3,4-54,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
A4,4-42,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
A5,4-62,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
A6,4-69,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
A7,8-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
A8,7-37,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
A9,8-24,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
A10,4-49,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
A11,6-47,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
A12,Control,B,UNKNOWN,FAM,NFQ-MGB,37.1915740967,36.1743850708,1.4385224581,,,,0,0.01,1,3,35,,N,Y,N,N,N,N,N
B1,NTC,Ofav,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
B2,7-40,Ofav,UNKNOWN,FAM,NFQ-MGB,23.2787322998,23.6240653992,0.4883761108,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
B3,4-54,Ofav,UNKNOWN,FAM,NFQ-MGB,22.0130977631,22.3150577545,0.4270359278,,,,0,0.01,1,3,20,,N,N,N,N,N,N,N
B4,4-42,Ofav,UNKNOWN,FAM,NFQ-MGB,22.7209529877,22.703289032,0.0249792561,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
B5,4-62,Ofav,UNKNOWN,FAM,NFQ-MGB,22.1463565826,22.378616333,0.3284662366,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
B6,4-69,Ofav,UNKNOWN,FAM,NFQ-MGB,21.9241466522,22.3706092834,0.6313948631,,,,0,0.01,1,3,20,,N,Y,N,N,N,N,N
B7,8-7,Ofav,UNKNOWN,FAM,NFQ-MGB,25.6011238098,25.4007949829,0.2833077312,,,,0,0.01,1,3,24,,N,N,N,N,N,N,N
B8,7-37,Ofav,UNKNOWN,FAM,NFQ-MGB,22.3006649017,22.3794345856,0.1113971546,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
B9,8-24,Ofav,UNKNOWN,FAM,NFQ-MGB,24.4187107086,24.5396461487,0.1710285395,,,,0,0.01,1,3,23,,N,N,N,N,N,N,N
B10,4-49,Ofav,UNKNOWN,FAM,NFQ-MGB,23.5724334717,23.1658477783,0.5749989748,,,,0,0.01,1,3,22,,N,Y,N,N,N,N,N
B11,6-47,Ofav,UNKNOWN,FAM,NFQ-MGB,22.8836784363,22.3300991058,0.7828794122,,,,0,0.01,1,3,21,,N,Y,N,N,N,N,N
B12,Control,Ofav,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
C1,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
C1,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
C2,7-40,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
C2,7-40,D,UNKNOWN,FAM,NFQ-MGB,24.3722343445,24.2929801941,0.1120809466,,,,0,0.01,1,3,23,,N,N,Y,N,N,N,Y
C3,4-54,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
C3,4-54,D,UNKNOWN,FAM,NFQ-MGB,23.7872333527,23.7776451111,0.0135598211,,,,0,0.01,1,3,23,,N,N,Y,N,N,N,Y
C4,4-42,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
C4,4-42,D,UNKNOWN,FAM,NFQ-MGB,25.2288036346,25.244556427,0.0222778134,,,,0,0.01,1,3,24,,N,N,Y,N,N,N,Y
C5,4-62,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
C5,4-62,D,UNKNOWN,FAM,NFQ-MGB,24.4843177795,24.7372589111,0.3577114344,,,,0,0.01,1,3,23,,N,N,Y,N,N,N,Y
C6,4-69,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,23,,Y,N,N,Y,Y,Y,N
C6,4-69,D,UNKNOWN,FAM,NFQ-MGB,24.1934299469,24.7333621979,,,,,0,0.01,1,3,8,,Y,N,N,Y,Y,Y,N
C7,8-7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
C7,8-7,D,UNKNOWN,FAM,NFQ-MGB,25.2076931,25.2796211243,0.1017215848,,,,0,0.01,1,3,24,,N,N,Y,N,N,N,Y
C8,7-37,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
C8,7-37,D,UNKNOWN,FAM,NFQ-MGB,23.4959869385,23.4874973297,0.0120061198,,,,0,0.01,1,3,22,,N,N,Y,N,N,N,Y
C9,8-24,C,UNKNOWN,VIC,NFQ-MGB,38.9415855408,38.9415855408,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
C9,8-24,D,UNKNOWN,FAM,NFQ-MGB,24.0024433136,24.2329483032,0.3259832859,,,,0,0.01,1,3,23,,N,N,Y,N,N,N,Y
C10,4-49,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
C10,4-49,D,UNKNOWN,FAM,NFQ-MGB,24.647726059,24.5944232941,0.0753814951,,,,0,0.01,1,3,23,,N,N,Y,N,N,N,Y
C11,6-47,C,UNKNOWN,VIC,NFQ-MGB,38.5634727478,38.5634727478,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
C11,6-47,D,UNKNOWN,FAM,NFQ-MGB,23.7267990112,23.6508293152,0.1074387208,,,,0,0.01,1,3,22,,N,N,N,N,N,N,Y
C12,Control,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
C12,Control,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
D1,NTC,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
D2,7-40,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
D3,4-54,A,UNKNOWN,FAM,NFQ-MGB,36.3557014465,36.5038070679,0.2094529718,,,,0,0.01,1,3,34,,N,N,N,N,N,N,N
D4,4-42,A,UNKNOWN,FAM,NFQ-MGB,34.8673362732,34.4415130615,0.6022049785,,,,0,0.01,1,3,34,,N,Y,N,N,N,N,N
D5,4-62,A,UNKNOWN,FAM,NFQ-MGB,37.7054634094,37.335899353,0.5226451755,,,,0,0.01,1,3,35,,N,Y,N,N,N,N,N
D6,4-69,A,UNKNOWN,FAM,NFQ-MGB,34.7341804504,35.0629425049,0.4649397433,,,,0,0.01,1,3,34,,N,N,N,N,N,N,N
D7,8-7,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.6839675903,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
D8,7-37,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
D9,8-24,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
D10,4-49,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
D11,6-47,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
D12,Control,A,UNKNOWN,FAM,NFQ-MGB,24.574552536,24.4447479248,0.183571443,,,,0,0.01,1,3,23,,N,N,N,N,N,N,N
E1,NTC,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,N,Y
E2,7-40,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,N,Y
E3,4-54,A,UNKNOWN,FAM,NFQ-MGB,36.6519126892,36.5038070679,0.2094529718,,,,0,0.01,1,3,34,,N,N,N,N,N,N,N
E4,4-42,A,UNKNOWN,FAM,NFQ-MGB,34.0156898499,34.4415130615,0.6022049785,,,,0,0.01,1,3,33,,N,Y,N,N,N,N,N
E5,4-62,A,UNKNOWN,FAM,NFQ-MGB,36.9663314819,37.335899353,0.5226451755,,,,0,0.01,1,3,35,,N,Y,N,N,N,N,N
E6,4-69,A,UNKNOWN,FAM,NFQ-MGB,35.3917045593,35.0629425049,0.4649397433,,,,0,0.01,1,3,34,,N,N,N,N,N,N,N
