Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_lauren_Plate2.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-28 18:13:30 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,8-7,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,8-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A3,8-7,Ofav,UNKNOWN,FAM,NFQ-MGB,32.9345664978,29.8245754242,4.398191452,,,,0,0.01,1,3,32,,Y,N,N
A4,8-7,Ofav,UNKNOWN,FAM,NFQ-MGB,26.7145843506,29.8245754242,4.398191452,,,,0,0.01,1,3,25,,Y,N,N
A5,8-7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A5,8-7,D,UNKNOWN,FAM,NFQ-MGB,25.4641590118,25.5822029114,0.1669406295,,,,0,0.01,1,3,24,,N,Y,Y
A6,8-7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A6,8-7,D,UNKNOWN,FAM,NFQ-MGB,25.7002487183,25.5822029114,0.1669406295,,,,0,0.01,1,3,25,,N,Y,Y
A7,6-21,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A7,6-21,D,UNKNOWN,FAM,NFQ-MGB,23.354434967,23.3768157959,0.0316499248,,,,0,0.01,1,3,22,,N,Y,Y
A8,6-21,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A8,6-21,D,UNKNOWN,FAM,NFQ-MGB,23.3991947174,23.3768157959,0.0316499248,,,,0,0.01,1,3,22,,N,Y,Y
A9,6-21,Ofav,UNKNOWN,FAM,NFQ-MGB,22.846950531,23.2350959778,0.5489205718,,,,0,0.01,1,3,22,,Y,N,N
A10,6-21,Ofav,UNKNOWN,FAM,NFQ-MGB,23.6232414246,23.2350959778,0.5489205718,,,,0,0.01,1,3,22,,Y,N,N
A11,6-21,B,UNKNOWN,FAM,NFQ-MGB,39.0828971863,39.0828971863,,,,,0,0.01,1,3,35,,N,N,N
A12,6-21,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
B1,4-73,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
B2,4-73,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B3,4-73,Ofav,UNKNOWN,FAM,NFQ-MGB,23.3020992279,23.5414962769,0.3385585546,,,,0,0.01,1,3,22,,N,N,N
B4,4-73,Ofav,UNKNOWN,FAM,NFQ-MGB,23.7808933258,23.5414962769,0.3385585546,,,,0,0.01,1,3,23,,N,N,N
B5,4-73,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B5,4-73,D,UNKNOWN,FAM,NFQ-MGB,24.2919864655,24.1523628235,0.1974576414,,,,0,0.01,1,3,23,,N,Y,Y
B6,4-73,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B6,4-73,D,UNKNOWN,FAM,NFQ-MGB,24.0127391815,24.1523628235,0.1974576414,,,,0,0.01,1,3,23,,N,Y,Y
B7,7-78,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,Y,Y,Y
B7,7-78,D,UNKNOWN,FAM,NFQ-MGB,23.0949134827,23.4528503418,0.5061991811,,,,0,0.01,1,3,22,,Y,Y,Y
B8,7-78,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,Y,Y,Y
B8,7-78,D,UNKNOWN,FAM,NFQ-MGB,23.8107872009,23.4528503418,0.5061991811,,,,0,0.01,1,3,23,,Y,Y,Y
B9,7-78,Ofav,UNKNOWN,FAM,NFQ-MGB,24.3742523193,24.5478172302,0.2454565018,,,,0,0.01,1,3,23,,N,N,N
B10,7-78,Ofav,UNKNOWN,FAM,NFQ-MGB,24.7213802338,24.5478172302,0.2454565018,,,,0,0.01,1,3,24,,N,N,N
B11,7-78,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B12,7-78,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
C1,6-26,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
C2,6-26,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C3,6-26,Ofav,UNKNOWN,FAM,NFQ-MGB,23.2932662964,22.6972694397,0.842866838,,,,0,0.01,1,3,21,,Y,N,N
C4,6-26,Ofav,UNKNOWN,FAM,NFQ-MGB,22.101272583,22.6972694397,0.842866838,,,,0,0.01,1,3,21,,Y,N,N
C5,6-26,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C5,6-26,D,UNKNOWN,FAM,NFQ-MGB,23.2818336487,23.2984466553,0.0234943386,,,,0,0.01,1,3,22,,N,Y,Y
C6,6-26,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C6,6-26,D,UNKNOWN,FAM,NFQ-MGB,23.3150596619,23.2984466553,0.0234943386,,,,0,0.01,1,3,22,,N,Y,Y
C7,7-17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C7,7-17,D,UNKNOWN,FAM,NFQ-MGB,22.9917545319,22.9807662964,0.0155397113,,,,0,0.01,1,3,22,,N,Y,Y
C8,7-17,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C8,7-17,D,UNKNOWN,FAM,NFQ-MGB,22.9697780609,22.9807662964,0.0155397113,,,,0,0.01,1,3,22,,N,Y,Y
C9,7-17,Ofav,UNKNOWN,FAM,NFQ-MGB,23.6843776703,24.0986690521,0.585896492,,,,0,0.01,1,3,23,,Y,N,N
C10,7-17,Ofav,UNKNOWN,FAM,NFQ-MGB,24.512960434,24.0986690521,0.585896492,,,,0,0.01,1,3,23,,Y,N,N
C11,7-17,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
C12,7-17,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
D1,6-118,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
D2,6-118,B,UNKNOWN,FAM,NFQ-MGB,36.6569404602,36.6569404602,,,,,0,0.01,1,3,35,,N,N,N
D3,6-118,Ofav,UNKNOWN,FAM,NFQ-MGB,22.8981952667,22.9758281708,0.1097895056,,,,0,0.01,1,3,22,,N,N,N
D4,6-118,Ofav,UNKNOWN,FAM,NFQ-MGB,23.0534610748,22.9758281708,0.1097895056,,,,0,0.01,1,3,22,,N,N,N
D5,6-118,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D5,6-118,D,UNKNOWN,FAM,NFQ-MGB,22.8930931091,22.8999099731,0.0096418504,,,,0,0.01,1,3,22,,N,Y,Y
D6,6-118,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D6,6-118,D,UNKNOWN,FAM,NFQ-MGB,22.9067287445,22.8999099731,0.0096418504,,,,0,0.01,1,3,22,,N,Y,Y
D7,8-15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D7,8-15,D,UNKNOWN,FAM,NFQ-MGB,23.5424385071,23.6649780273,0.1732957065,,,,0,0.01,1,3,23,,N,Y,Y
D8,8-15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D8,8-15,D,UNKNOWN,FAM,NFQ-MGB,23.7875156403,23.6649780273,0.1732957065,,,,0,0.01,1,3,23,,N,Y,Y
D9,8-15,Ofav,UNKNOWN,FAM,NFQ-MGB,24.8836479187,24.1777000427,0.998362422,,,,0,0.01,1,3,24,,Y,N,N
D10,8-15,Ofav,UNKNOWN,FAM,NFQ-MGB,23.4717502594,24.1777000427,0.998362422,,,,0,0.01,1,3,22,,Y,N,N
D11,8-15,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
D12,8-15,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
E1,6-113,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
E2,6-113,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E3,6-113,Ofav,UNKNOWN,FAM,NFQ-MGB,21.5813655853,21.9890041351,0.5764879584,,,,0,0.01,1,3,20,,Y,N,N
E4,6-113,Ofav,UNKNOWN,FAM,NFQ-MGB,22.3966426849,21.9890041351,0.5764879584,,,,0,0.01,1,3,21,,Y,N,N
E5,6-113,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E5,6-113,D,UNKNOWN,FAM,NFQ-MGB,23.1540431976,23.0255241394,0.181753397,,,,0,0.01,1,3,22,,N,Y,Y
E6,6-113,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E6,6-113,D,UNKNOWN,FAM,NFQ-MGB,22.8970050812,23.0255241394,0.181753397,,,,0,0.01,1,3,22,,N,Y,Y
E7,8-4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E7,8-4,D,UNKNOWN,FAM,NFQ-MGB,23.7489280701,23.7260723114,0.0323229246,,,,0,0.01,1,3,23,,N,Y,Y
E8,8-4,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E8,8-4,D,UNKNOWN,FAM,NFQ-MGB,23.7032165527,23.7260723114,0.0323229246,,,,0,0.01,1,3,23,,N,Y,Y
E9,8-4,Ofav,UNKNOWN,FAM,NFQ-MGB,24.4109649658,24.9924564362,0.8223531246,,,,0,0.01,1,3,23,,Y,N,N
E10,8-4,Ofav,UNKNOWN,FAM,NFQ-MGB,25.5739479065,24.9924564362,0.8223531246,,,,0,0.01,1,3,24,,Y,N,N
E11,8-4,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
E12,8-4,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
F1,7-66,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
F2,7-66,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
F3,7-66,Ofav,UNKNOWN,FAM,NFQ-MGB,23.4083576202,24.1443862915,1.0409003496,,,,0,0.01,1,3,22,,Y,N,N
