Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_Lauren.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-28 16:11:28 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,4-47,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A2,4-47,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
A3,4-47,Ofav,UNKNOWN,FAM,NFQ-MGB,23.9923934937,23.8290481567,0.2310065329,,,,0,0.01,1,3,23,,N,N,N
A4,4-47,Ofav,UNKNOWN,FAM,NFQ-MGB,23.6657009125,23.8290481567,0.2310065329,,,,0,0.01,1,3,23,,N,N,N
A5,4-47,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A5,4-47,D,UNKNOWN,FAM,NFQ-MGB,25.7343769073,25.8014240265,0.0948189422,,,,0,0.01,1,3,25,,N,Y,Y
A6,4-47,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
A6,4-47,D,UNKNOWN,FAM,NFQ-MGB,25.8684711456,25.8014240265,0.0948189422,,,,0,0.01,1,3,25,,N,Y,Y
A7,6-44,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,Y,Y,Y
A7,6-44,D,UNKNOWN,FAM,NFQ-MGB,24.54570961,24.0963554382,0.6354840994,,,,0,0.01,1,3,24,,Y,Y,Y
A8,6-44,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,Y,Y,Y
A8,6-44,D,UNKNOWN,FAM,NFQ-MGB,23.6469993591,24.0963554382,0.6354840994,,,,0,0.01,1,3,23,,Y,Y,Y
A9,6-44,Ofav,UNKNOWN,FAM,NFQ-MGB,23.3772411346,23.1038894653,0.386577636,,,,0,0.01,1,3,22,,N,N,N
A10,6-44,Ofav,UNKNOWN,FAM,NFQ-MGB,22.830537796,23.1038894653,0.386577636,,,,0,0.01,1,3,21,,N,N,N
A11,6-44,B,UNKNOWN,FAM,NFQ-MGB,39.4970397949,39.4970397949,,,,,0,0.01,1,3,39,,N,N,Y
A12,6-44,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
B1,6-119A,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
B2,6-119A,B,UNKNOWN,FAM,NFQ-MGB,33.0767707825,33.0767707825,,,,,0,0.01,1,3,32,,N,N,N
B3,6-119A,Ofav,UNKNOWN,FAM,NFQ-MGB,22.0285282135,22.2926902771,0.3735815585,,,,0,0.01,1,3,21,,N,N,N
B4,6-119A,Ofav,UNKNOWN,FAM,NFQ-MGB,22.5568523407,22.2926902771,0.3735815585,,,,0,0.01,1,3,21,,N,N,N
B5,6-119A,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B5,6-119A,D,UNKNOWN,FAM,NFQ-MGB,22.4050884247,22.5766124725,0.242571637,,,,0,0.01,1,3,21,,N,Y,Y
B6,6-119A,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B6,6-119A,D,UNKNOWN,FAM,NFQ-MGB,22.7481365204,22.5766124725,0.242571637,,,,0,0.01,1,3,22,,N,Y,Y
B7,6-99,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B7,6-99,D,UNKNOWN,FAM,NFQ-MGB,24.2067108154,24.2599220276,0.0752533674,,,,0,0.01,1,3,23,,N,Y,Y
B8,6-99,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,Y,Y
B8,6-99,D,UNKNOWN,FAM,NFQ-MGB,24.3131351471,24.2599220276,0.0752533674,,,,0,0.01,1,3,23,,N,Y,Y
B9,6-99,Ofav,UNKNOWN,FAM,NFQ-MGB,22.8495330811,23.3637256622,0.7271780968,,,,0,0.01,1,3,21,,Y,N,N
B10,6-99,Ofav,UNKNOWN,FAM,NFQ-MGB,23.8779182434,23.3637256622,0.7271780968,,,,0,0.01,1,3,23,,Y,N,N
B11,6-99,B,UNKNOWN,FAM,NFQ-MGB,34.3259391785,34.3259391785,,,,,0,0.01,1,3,34,,N,N,N
B12,6-99,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
C1,6-37,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y
C2,6-37,B,UNKNOWN,FAM,NFQ-MGB,33.8063583374,33.8063583374,,,,,0,0.01,1,3,33,,N,N,N
C3,6-37,Ofav,UNKNOWN,FAM,NFQ-MGB,22.8120555878,23.0507545471,0.337569952,,,,0,0.01,1,3,21,,N,N,N
