Block Type,96well,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Lauren\Ofav_Lauren_Plate5.eds,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2016-09-29 14:30:30 PM EDT,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,NOSIGNAL,EXPFAIL,CTFAIL
A1,6-97,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
A2,6-97,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,18,,Y,N,N,N,Y,N,N
A3,6-97,Ofav,UNKNOWN,FAM,NFQ-MGB,24.3014583588,23.8904933929,0.581192255,,,,0,0.01,1,3,23,,N,Y,N,N,N,N,N
A4,6-97,Ofav,UNKNOWN,FAM,NFQ-MGB,23.4795284271,23.8904933929,0.581192255,,,,0,0.01,1,3,22,,N,Y,N,N,N,N,N
A5,6-97,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
A5,6-97,D,UNKNOWN,FAM,NFQ-MGB,23.242067337,23.2637748718,0.030699091,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
A6,6-97,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
A6,6-97,D,UNKNOWN,FAM,NFQ-MGB,23.2854824066,23.2637748718,0.030699091,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
A7,4-69,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
A7,4-69,D,UNKNOWN,FAM,NFQ-MGB,24.2335929871,24.1934299469,0.0567991175,,,,0,0.01,1,3,23,,N,N,Y,N,N,Y,N
A8,4-69,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
A8,4-69,D,UNKNOWN,FAM,NFQ-MGB,24.1532669067,24.1934299469,0.0567991175,,,,0,0.01,1,3,23,,N,N,Y,N,N,Y,N
A9,4-69,Ofav,UNKNOWN,FAM,NFQ-MGB,22.7520008087,22.7192764282,0.0462792628,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
A10,4-69,Ofav,UNKNOWN,FAM,NFQ-MGB,22.6865520477,22.7192764282,0.0462792628,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
A11,4-69,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
A12,4-69,A,UNKNOWN,FAM,NFQ-MGB,39.6241264343,39.6241264343,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
B1,6-23,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
B2,6-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,16,,Y,N,N,N,Y,N,N
B3,6-23,Ofav,UNKNOWN,FAM,NFQ-MGB,22.8749694824,22.7786369324,0.136233449,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
B4,6-23,Ofav,UNKNOWN,FAM,NFQ-MGB,22.6823062897,22.7786369324,0.136233449,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
B5,6-23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
B5,6-23,D,UNKNOWN,FAM,NFQ-MGB,22.6271591187,22.5470314026,0.1133190542,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
B6,6-23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
B6,6-23,D,UNKNOWN,FAM,NFQ-MGB,22.4669017792,22.5470314026,0.1133190542,,,,0,0.01,1,3,21,,N,N,Y,N,N,Y,N
B7,6-1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
B7,6-1,D,UNKNOWN,FAM,NFQ-MGB,23.0964050293,23.1843109131,0.1243176907,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
B8,6-1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,Y,N,N,Y,N
B8,6-1,D,UNKNOWN,FAM,NFQ-MGB,23.2722167969,23.1843109131,0.1243176907,,,,0,0.01,1,3,22,,N,N,Y,N,N,Y,N
B9,6-1,Ofav,UNKNOWN,FAM,NFQ-MGB,21.9755935669,22.2394638062,0.3731688857,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
B10,6-1,Ofav,UNKNOWN,FAM,NFQ-MGB,22.5033340454,22.2394638062,0.3731688857,,,,0,0.01,1,3,21,,N,N,N,N,N,N,N
B11,6-1,B,UNKNOWN,FAM,NFQ-MGB,36.9697952271,36.9697952271,,,,,0,0.01,1,3,35,,N,N,N,N,N,N,N
B12,6-1,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
C1,6-30,A,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.01,1,3,39,,N,N,N,N,N,Y,N
C2,6-30,B,UNKNOWN,FAM,NFQ-MGB,36.1002311707,36.1002311707,,,,,0,0.01,1,3,39,,Y,N,N,Y,Y,Y,N
C3,6-30,Ofav,UNKNOWN,FAM,NFQ-MGB,23.5295696259,23.6089782715,0.1122994348,,,,0,0.01,1,3,22,,N,N,N,N,N,N,N
